# EUC,SJIS
0xa3e9,0x8289
0xa3ea,0x828a
0xa3eb,0x828b
0xa3ec,0x828c
0xa3ed,0x828d
0xa3ee,0x828e
0xa3ef,0x828f
0xa3f0,0x8290
0xa3f1,0x8291
0xa3f2,0x8292
0xa3f3,0x8293
0xa3f4,0x8294
0xa3f5,0x8295
0xa3f6,0x8296
0xa3f7,0x8297
0xa3f8,0x8298
0xa3f9,0x8299
0xa3fa,0x829a
0xa3fb,0x829b
0xa3fc,0x829c
0xa3fd,0x829d
0xa3fe,0x829e
0xa4a1,0x829f
0xa4a2,0x82a0
0xa4a3,0x82a1
0xa4a4,0x82a2
0xa4a5,0x82a3
0xa4a6,0x82a4
0xa4a7,0x82a5
0xa4a8,0x82a6
0xa4a9,0x82a7
0xa4aa,0x82a8
0xa4ab,0x82a9
0xa4ac,0x82aa
0xa4ad,0x82ab
0xa4ae,0x82ac
0xa4af,0x82ad
0xa4b0,0x82ae
0xa4b1,0x82af
0xa4b2,0x82b0
0xa4b3,0x82b1
0xa4b4,0x82b2
0xa4b5,0x82b3
0xa4b6,0x82b4
0xa4b7,0x82b5
0xa4b8,0x82b6
0xa4b9,0x82b7
0xa4ba,0x82b8
0xa4bb,0x82b9
0xa4bc,0x82ba
0xa4bd,0x82bb
0xa4be,0x82bc
0xa4bf,0x82bd
0xa4c0,0x82be
0xa4c1,0x82bf
0xa4c2,0x82c0
0xa4c3,0x82c1
0xa4c4,0x82c2
0xa4c5,0x82c3
0xa4c6,0x82c4
0xa4c7,0x82c5
0xa4c8,0x82c6
0xa4c9,0x82c7
0xa4ca,0x82c8
0xa4cb,0x82c9
0xa4cc,0x82ca
0xa4cd,0x82cb
0xa4ce,0x82cc
0xa4cf,0x82cd
0xa4d0,0x82ce
0xa4d1,0x82cf
0xa4d2,0x82d0
0xa4d3,0x82d1
0xa4d4,0x82d2
0xa4d5,0x82d3
0xa4d6,0x82d4
0xa4d7,0x82d5
0xa4d8,0x82d6
0xa4d9,0x82d7
0xa4da,0x82d8
0xa4db,0x82d9
0xa4dc,0x82da
0xa4dd,0x82db
0xa4de,0x82dc
0xa4df,0x82dd
0xa4e0,0x82de
0xa4e1,0x82df
0xa4e2,0x82e0
0xa4e3,0x82e1
0xa4e4,0x82e2
0xa4e5,0x82e3
0xa4e6,0x82e4
0xa4e7,0x82e5
0xa4e8,0x82e6
0xa4e9,0x82e7
0xa4ea,0x82e8
0xa4eb,0x82e9
0xa4ec,0x82ea
0xa4ed,0x82eb
0xa4ee,0x82ec
0xa4ef,0x82ed
0xa4f0,0x82ee
0xa4f1,0x82ef
0xa4f2,0x82f0
0xa4f3,0x82f1
0xa4f4,0x82f2
0xa4f5,0x82f3
0xa4f6,0x82f4
0xa4f7,0x82f5
0xa4f8,0x82f6
0xa4f9,0x82f7
0xa4fa,0x82f8
0xa4fb,0x82f9
0xa4fc,0x82fa
0xa4fd,0x82fb
0xa4fe,0x82fc
0xa5a1,0x8340
0xa5a2,0x8341
0xa5a3,0x8342
0xa5a4,0x8343
0xa5a5,0x8344
0xa5a6,0x8345
0xa5a7,0x8346
0xa5a8,0x8347
0xa5a9,0x8348
0xa5aa,0x8349
0xa5ab,0x834a
0xa5ac,0x834b
0xa5ad,0x834c
0xa5ae,0x834d
0xa5af,0x834e
0xa5b0,0x834f
0xa5b1,0x8350
0xa5b2,0x8351
0xa5b3,0x8352
0xa5b4,0x8353
0xa5b5,0x8354
0xa5b6,0x8355
0xa5b7,0x8356
0xa5b8,0x8357
0xa5b9,0x8358
0xa5ba,0x8359
0xa5bb,0x835a
0xa5bc,0x835b
0xa5bd,0x835c
0xa5be,0x835d
0xa5bf,0x835e
0xa5c0,0x835f
0xa5c1,0x8360
0xa5c2,0x8361
0xa5c3,0x8362
0xa5c4,0x8363
0xa5c5,0x8364
0xa5c6,0x8365
0xa5c7,0x8366
0xa5c8,0x8367
0xa5c9,0x8368
0xa5ca,0x8369
0xa5cb,0x836a
0xa5cc,0x836b
0xa5cd,0x836c
0xa5ce,0x836d
0xa5cf,0x836e
0xa5d0,0x836f
0xa5d1,0x8370
0xa5d2,0x8371
0xa5d3,0x8372
0xa5d4,0x8373
0xa5d5,0x8374
0xa5d6,0x8375
0xa5d7,0x8376
0xa5d8,0x8377
0xa5d9,0x8378
0xa5da,0x8379
0xa5db,0x837a
0xa5dc,0x837b
0xa5dd,0x837c
0xa5de,0x837d
0xa5df,0x837e
0xa5e0,0x8380
0xa5e1,0x8381
0xa5e2,0x8382
0xa5e3,0x8383
0xa5e4,0x8384
0xa5e5,0x8385
0xa5e6,0x8386
0xa5e7,0x8387
0xa5e8,0x8388
0xa5e9,0x8389
0xa5ea,0x838a
0xa5eb,0x838b
0xa5ec,0x838c
0xa5ed,0x838d
0xa5ee,0x838e
0xa5ef,0x838f
0xa5f0,0x8390
0xa5f1,0x8391
0xa5f2,0x8392
0xa5f3,0x8393
0xa5f4,0x8394
0xa5f5,0x8395
0xa5f6,0x8396
0xa5f7,0x8397
0xa5f8,0x8398
0xa5f9,0x8399
0xa5fa,0x839a
0xa5fb,0x839b
0xa5fc,0x839c
0xa5fd,0x839d
0xa5fe,0x839e
0xa6a1,0x839f
0xa6a2,0x83a0
0xa6a3,0x83a1
0xa6a4,0x83a2
0xa6a5,0x83a3
0xa6a6,0x83a4
0xa6a7,0x83a5
0xa6a8,0x83a6
0xa6a9,0x83a7
0xa6aa,0x83a8
0xa6ab,0x83a9
0xa6ac,0x83aa
0xa6ad,0x83ab
0xa6ae,0x83ac
0xa6af,0x83ad
0xa6b0,0x83ae
0xa6b1,0x83af
0xa6b2,0x83b0
0xa6b3,0x83b1
0xa6b4,0x83b2
0xa6b5,0x83b3
0xa6b6,0x83b4
0xa6b7,0x83b5
0xa6b8,0x83b6
0xa6b9,0x83b7
0xa6ba,0x83b8
0xa6bb,0x83b9
0xa6bc,0x83ba
0xa6bd,0x83bb
0xa6be,0x83bc
0xa6bf,0x83bd
0xa6c0,0x83be
0xa6c1,0x83bf
0xa6c2,0x83c0
0xa6c3,0x83c1
0xa6c4,0x83c2
0xa6c5,0x83c3
0xa6c6,0x83c4
0xa6c7,0x83c5
0xa6c8,0x83c6
0xa6c9,0x83c7
0xa6ca,0x83c8
0xa6cb,0x83c9
0xa6cc,0x83ca
0xa6cd,0x83cb
0xa6ce,0x83cc
0xa6cf,0x83cd
0xa6d0,0x83ce
0xa6d1,0x83cf
0xa6d2,0x83d0
0xa6d3,0x83d1
0xa6d4,0x83d2
0xa6d5,0x83d3
0xa6d6,0x83d4
0xa6d7,0x83d5
0xa6d8,0x83d6
0xa6d9,0x83d7
0xa6da,0x83d8
0xa6db,0x83d9
0xa6dc,0x83da
0xa6dd,0x83db
0xa6de,0x83dc
0xa6df,0x83dd
0xa6e0,0x83de
0xa6e1,0x83df
0xa6e2,0x83e0
0xa6e3,0x83e1
0xa6e4,0x83e2
0xa6e5,0x83e3
0xa6e6,0x83e4
0xa6e7,0x83e5
0xa6e8,0x83e6
0xa6e9,0x83e7
0xa6ea,0x83e8
0xa6eb,0x83e9
0xa6ec,0x83ea
0xa6ed,0x83eb
0xa6ee,0x83ec
0xa6ef,0x83ed
0xa6f0,0x83ee
0xa6f1,0x83ef
0xa6f2,0x83f0
0xa6f3,0x83f1
0xa6f4,0x83f2
0xa6f5,0x83f3
0xa6f6,0x83f4
0xa6f7,0x83f5
0xa6f8,0x83f6
0xa6f9,0x83f7
0xa6fa,0x83f8
0xa6fb,0x83f9
0xa6fc,0x83fa
0xa6fd,0x83fb
0xa6fe,0x83fc
0xa7a1,0x8440
0xa7a2,0x8441
0xa7a3,0x8442
0xa7a4,0x8443
0xa7a5,0x8444
0xa7a6,0x8445
0xa7a7,0x8446
0xa7a8,0x8447
0xa7a9,0x8448
0xa7aa,0x8449
0xa7ab,0x844a
0xa7ac,0x844b
0xa7ad,0x844c
0xa7ae,0x844d
0xa7af,0x844e
0xa7b0,0x844f
0xa7b1,0x8450
0xa7b2,0x8451
0xa7b3,0x8452
0xa7b4,0x8453
0xa7b5,0x8454
0xa7b6,0x8455
0xa7b7,0x8456
0xa7b8,0x8457
0xa7b9,0x8458
0xa7ba,0x8459
0xa7bb,0x845a
0xa7bc,0x845b
0xa7bd,0x845c
0xa7be,0x845d
0xa7bf,0x845e
0xa7c0,0x845f
0xa7c1,0x8460
0xa7c2,0x8461
0xa7c3,0x8462
0xa7c4,0x8463
0xa7c5,0x8464
0xa7c6,0x8465
